fid,muni_id,muni,is_housing,only_single_family,%_single_family,is_MBTA_community,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,hh,incu10,inc1015,inc1520,inc2025,inc2530,inc3035,inc3540,inc4045,inc4550,inc5060,inc6075,i7599,i100125,i125150,i150200,in200o
99,288,Sudbury,1,1,99.7800123,1,515,200,315,140,265,110,401,24,0,33,1,8,22,26,131,57,33,34,5,2,0,120,111,9,0,0,0,0,0,602,14,17,13,49,15,10,0,0,0,15,29,0,0,75,178,187
80,291,Swampscott,1,0,77.84996661,1,833,315,518,81,329,423,774,10,2,9,0,0,10,28,173,100,49,15,9,0,0,187,169,16,0,2,0,0,0,797,41,78,56,38,25,41,59,0,26,0,102,98,77,54,44,58
142,291,Swampscott,1,1,77.84996661,1,133,62,71,14,78,41,130,0,0,3,0,0,0,0,42,25,7,7,3,0,0,18,17,1,0,0,0,0,0,587,0,51,14,10,13,0,24,11,77,24,61,41,25,57,148,31
44,298,Topsfield,1,0,98.96091315,1,32,17,15,12,19,1,32,0,0,0,0,0,0,0,10,4,3,1,1,1,0,0,0,0,0,0,0,0,0,632,0,88,0,29,0,0,18,0,16,30,18,13,105,75,86,154
132,298,Topsfield,1,1,98.96091315,1,180,84,96,53,95,32,172,0,0,2,0,0,6,0,51,18,12,12,6,1,2,9,8,1,0,0,0,0,0,496,0,0,13,0,13,13,28,0,0,44,0,52,14,13,153,153
18,305,Wakefield,1,0,1.357756627,1,396,193,203,69,284,43,368,2,0,8,0,0,7,11,108,38,34,27,4,4,1,44,35,9,0,0,0,0,0,293,15,0,0,0,16,0,0,0,18,0,50,16,47,65,17,49
116,305,Wakefield,1,1,1.357756627,1,622,307,315,149,395,78,571,6,1,18,0,0,15,11,171,66,39,38,17,7,4,48,36,8,3,0,1,0,0,813,61,62,30,41,20,18,27,0,31,17,39,116,50,84,136,81
19,307,Walpole,1,0,90.51544378,1,295,135,160,37,111,147,288,0,0,2,0,0,2,3,92,66,13,10,1,0,2,60,55,5,0,0,0,0,0,771,32,44,89,0,15,30,18,0,32,44,83,60,85,78,33,128
144,307,Walpole,1,1,90.51544378,1,673,331,342,247,358,68,644,4,0,11,0,0,6,8,177,53,28,47,32,11,6,20,14,6,0,0,0,0,0,989,0,0,32,15,15,30,0,0,40,0,29,53,123,82,121,449
83,308,Waltham,1,0,76.07927938,1,1011,438,573,152,692,167,711,61,0,134,0,2,10,93,227,125,57,26,11,8,0,315,253,56,6,0,0,0,0,1260,129,68,36,0,19,0,48,27,38,185,102,147,151,138,12,160
145,308,Waltham,1,1,76.07927938,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,22,0,7,24,0,0,0,0,0,31,6,81,67,50,110,95
86,314,Watertown,1,0,25.28304828,1,504,237,267,65,350,89,473,2,0,17,0,0,5,7,128,61,38,24,4,1,0,105,67,35,3,0,0,0,0,524,7,0,0,11,0,0,7,20,17,59,52,19,63,76,93,100
146,314,Watertown,1,1,25.28304828,1,504,237,267,65,350,89,473,2,0,17,0,0,5,7,128,61,38,24,4,1,0,105,67,35,3,0,0,0,0,639,0,0,31,0,0,11,0,5,0,49,71,98,62,23,88,201
20,315,Wayland,1,0,0,1,288,135,153,86,159,43,277,0,0,3,0,1,0,7,89,37,21,20,8,3,0,10,7,3,0,0,0,0,0,915,8,17,9,0,0,0,10,0,0,17,65,32,32,94,92,539
23,317,Wellesley,1,0,84.00422669,1,284,149,135,19,247,18,175,11,0,57,1,0,7,33,26,12,6,4,3,1,0,5,5,0,0,0,0,0,0,307,10,0,0,0,0,0,0,0,0,5,50,40,7,31,26,138
101,317,Wellesley,1,1,84.00422669,1,793,292,501,174,331,288,727,13,0,34,0,5,8,6,167,74,26,42,17,7,1,172,163,9,0,0,0,0,0,307,10,0,0,0,0,0,0,0,0,5,50,40,7,31,26,138
131,320,Wenham,1,1,100,1,170,88,82,42,112,16,167,0,0,0,0,1,0,2,47,19,8,15,3,2,0,19,17,2,0,0,0,0,0,711,0,23,11,18,9,8,7,7,25,25,76,112,37,39,157,157
88,333,Weston,1,0,99.2056108,1,175,90,85,42,102,31,142,1,1,23,0,0,1,7,52,23,12,10,3,3,1,10,7,3,0,0,0,0,0,503,16,0,0,0,17,34,0,33,16,0,17,19,30,33,28,260
118,333,Weston,1,1,99.2056108,1,86,50,36,34,45,7,81,0,0,2,0,0,0,3,21,7,3,3,4,4,0,6,5,1,0,0,0,0,0,503,16,0,0,0,17,34,0,33,16,0,17,19,30,33,28,260
79,335,Westwood,1,0,0,1,323,155,168,134,169,20,277,0,0,33,0,0,8,5,82,17,16,23,18,7,1,7,5,1,1,0,0,0,0,778,17,0,15,0,13,0,0,10,11,39,28,107,124,67,54,293
59,336,Weymouth,1,0,80.61515388,1,4,3,1,0,4,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,307,0,0,0,14,0,0,0,0,11,12,46,33,28,45,28,90
120,336,Weymouth,1,1,80.61515388,1,949,457,492,287,574,88,824,13,0,48,0,25,14,25,252,71,58,65,40,11,7,38,27,6,3,2,0,0,0,489,0,0,0,40,9,20,0,8,0,46,30,40,21,20,109,146
89,342,Wilmington,1,0,0,1,316,165,151,84,204,28,290,4,0,4,0,1,10,7,88,24,24,26,9,3,2,11,9,2,0,0,0,0,0,755,35,14,11,10,0,17,34,46,0,23,29,31,137,51,56,261
24,344,Winchester,1,0,79.89774932,1,120,53,67,14,46,60,113,0,0,7,0,0,0,0,42,33,5,1,2,1,0,18,17,1,0,0,0,0,0,1155,9,35,28,16,40,51,67,8,18,83,115,79,99,134,147,226
148,344,Winchester,1,1,79.89774932,1,190,93,97,52,114,24,151,3,0,27,0,0,1,8,49,14,10,10,13,1,1,11,9,1,1,0,0,0,0,445,9,9,10,0,0,0,0,0,0,0,18,21,8,29,94,247
77,346,Winthrop,1,0,0,1,87,47,40,7,73,7,85,0,0,0,0,0,0,2,23,8,6,8,1,0,0,13,10,3,0,0,0,0,0,1107,44,160,228,32,48,61,29,24,32,53,120,116,33,48,43,36
84,347,Woburn,1,0,62.58050303,1,42,24,18,7,31,4,35,0,0,5,0,0,0,2,7,2,1,3,1,0,0,9,4,2,2,1,0,0,0,593,0,0,0,0,30,0,0,10,0,71,47,123,86,67,107,52
149,347,Woburn,1,1,62.58050303,1,874,408,466,172,473,229,794,12,0,45,0,0,12,11,245,118,45,42,29,9,2,106,94,11,0,0,1,0,0,779,43,26,15,13,0,27,16,14,13,34,26,35,144,35,150,188
85,350,Wrentham,1,0,0,1,123,54,69,22,85,16,116,1,0,4,0,0,1,1,32,9,9,9,4,1,0,10,5,4,1,0,0,0,0,972,36,10,15,27,19,14,0,6,10,25,26,89,108,74,155,358
